estacion,lat,lon,altura_m,marco_referencia,modo_vector_mapa,tipo_relacion_gravedad_gnss,radio_resumen_contextual_km,duracion_yr,n_puntos_grav,dist_min_km,dist_med_km,dist_max_km,n_0_50km,n_50_100km,n_100_150km,n_mayor_150km,pct_hasta_100km,pct_hasta_150km,clase_contexto_espacial,bouguer_mediana_100km_mgal,bouguer_media_100km_mgal,gradiente_mediana_100km_mgal_km,gradiente_max_100km_mgal_km,vel_e_abs_mm_yr,vel_n_abs_mm_yr,vel_u_abs_mm_yr,vel_horizontal_abs_mm_yr,azimut_abs_grados,vel_e_res_mm_yr,vel_n_res_mm_yr,vel_u_res_mm_yr,vel_horizontal_res_mm_yr,azimut_res_grados,sig_e_mm_yr,sig_n_mm_yr,sig_u_mm_yr,sig_h_mm_yr,snr_horizontal
BER1,6.4926844,-74.4103093200001,159.06482476,IGS20 / ITRF2020,residual_media_red,contextual_por_proximidad_no_asociacion_directa,100,8.01368925393566,432,2.5226,61.0826,114.8626,150,261,21,0,95.1388888888889,100,contexto_local_robusto,127.409414740118,159.407991545646,3.46242941572059,42.2588392673306,-39.5551224854799,81.8776619866758,8.08925551588659,90.9316185231828,334.214798192335,-73.837275665987,20.956727613634,-44.271929178289,76.7536820618204,285.845169110764,0.168175974547318,0.143765245131534,0.732945814827468,0.221250094062512,410.990191477574
MEDE,6.19940513999998,-75.57891647,1553.4488833,IGS20 / ITRF2020,residual_media_red,contextual_por_proximidad_no_asociacion_directa,100,10.6721423682409,658,3.1011,60.36405,119.9819,240,379,39,0,94.0729483282675,100,contexto_local_robusto,414.205596499628,403.887213721488,12.1202547387057,39.344718208603,35.0524671703439,50.0934940289893,42.0612201853515,61.1394602426324,34.9820561136626,0.770313989836779,-10.8274403440524,-10.299964508824,10.8548076006419,175.93057091173,0.0912590899179068,0.0754309652385837,0.33793402257568,0.118397854750283,516.38993266883
NEV1,2.93730119999999,-75.2930315400003,472.719899520001,IGS20 / ITRF2020,residual_media_red,contextual_por_proximidad_no_asociacion_directa,100,7.9917864476386,749,2.6929,70.7314,150.0045,213,392,143,1,80.7743658210948,99.8664886515354,contexto_regional_aceptable,313.563269092084,346.946013675749,10.2937447123314,39.6710618555913,89.2126365827341,101.246171341213,90.0799220195269,134.943253767267,41.3847536883909,54.930483402227,40.3252369681708,37.7187373253514,68.1431048848045,53.7170863223093,0.118374033915724,0.0982846582733814,0.437181351490236,0.15385800582809,877.063582365963
PER2,4.79249661999999,-75.6895093099997,1496.74126905,IGS20 / ITRF2020,residual_media_red,contextual_por_proximidad_no_asociacion_directa,100,9.44284736481862,966,3.3783,69.025,118.4908,256,647,63,0,93.4782608695652,100,contexto_local_robusto,381.215986593158,424.542772515214,11.4465379603268,50.5249784998993,80.7635028435782,25.0181466323571,78.5005868846042,84.5496957562993,72.788563709191,46.4813496630711,-35.9027877406846,26.1394021904287,58.7326658176975,127.682955816801,0.113222204986953,0.0954288431429403,0.429351427950129,0.148074075400481,570.995939212358
TUNA,5.53132951999999,-73.3638819999998,2831.85197739,IGS20 / ITRF2020,residual_media_red,contextual_por_proximidad_no_asociacion_directa,100,12.8432580424367,656,1.331,58.5494,158.7992,251,346,57,2,91.0060975609756,99.6951219512195,contexto_regional_aceptable,486.854840782353,462.647440701746,9.84935996041302,33.7695268960997,3.10672026273714,62.3745039890217,66.3365438259432,62.4518251027733,2.85140516280508,-31.1754329177699,1.45356961597999,13.9753591317676,31.2093012135625,272.669510063267,0.0735786820507357,0.0608856411212963,0.275901954807077,0.0955033179898717,653.923093115953
VIVI,4.07466193000003,-73.5839936900004,407.267054869998,IGS20 / ITRF2020,residual_media_red,contextual_por_proximidad_no_asociacion_directa,100,9.1772758384668,1740,2.7113,108.82405,199.6913,246,517,569,408,43.8505747126437,76.551724137931,contexto_regional_con_cautela,110.458132177241,208.309621249999,1.29248934036757,44.9386248554003,37.1127147091291,44.915628259994,29.0995797337409,58.2646312531983,39.5661122197789,2.83056152862203,-16.0053061130478,-23.2616049604347,16.2536735029248,169.97085908014,0.154444524164679,0.13092011411098,0.631368186157519,0.202467743908224,287.772413168237
