lon,lat,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,altura_m,gradiente_mgal_km
-76.46,2.72,62.33046913,717.29076513,479.663437482607,2122.36,12.7465887522037
-76.46,2.77,62.3729797,664.3528277,445.947432057783,1950.68,17.7247961683056
-76.46,2.82,62.39854067,635.57983667,427.622895680176,1857.36,11.2715795397387
-76.46,2.87,62.44709945,582.84545145,394.038785682481,1686.32,10.301046844215
-76.46,2.92,62.41876124,630.131665239999,424.158721425919,1839.64,13.0590405174495
-76.46,2.97,62.56368981,469.32317781,321.746033486946,1318.08,16.3904327074611
-76.46,3.02,62.6384807,401.6664407,278.663094352808,1098.6,6.16295015136929
-76.46,3.07,62.68854297,371.89339897,259.710226836346,1001.96,2.57577032770673
-76.46,3.12,62.72603625,365.70951625,255.783532776786,981.8,0.941545798469844
-76.46,3.17,62.76867709,361.74035709,253.269902018855,968.8,0.653364003856873
-76.46,3.22,62.81693223,359.87529223,252.099012242919,962.6,0.530262385854988
-76.46,3.27,62.87263761,358.22752561,251.069285375183,957.08,0.563775734673301
-76.46,3.32,62.93562023,357.34002023,250.52662826275,954,0.566456244888545
-76.46,3.37,63.00609804,357.20065004,250.46339340455,953.32,0.536643028241034
-76.46,3.42,63.08548916,356.23080116,249.874221183553,949.92,0.541282691506423
-76.46,3.47,63.17285174,355.72565174,249.584042112167,948,0.420908913923294
-76.46,3.52,63.26838447,355.48789647,249.467207663262,946.92,0.472386429335685
-76.46,3.57,63.37172386,355.94921186,249.798645134308,948.08,0.530741833811813
-76.46,3.62,63.48305376,356.78883776,250.37403664747,950.44,2.5117250820347
-76.46,3.67,63.56926773,398.819963730001,277.187053355219,1086.36,10.6030084008037
-76.46,3.72,63.59646077,523.52155677,356.655302207829,1490.36,19.5146081815004
-76.46,3.77,63.72406262,533.22810262,362.88649408858,1521.4,17.4342835683153
-76.46,3.82,63.86895947,530.69435147,361.32458805627,1512.72,10.040802606766
-76.46,3.87,64.00425751,548.56797751,372.762539284658,1570.2,12.2672067298234
-76.46,3.92,64.16820911,539.44924111,367.0116716796,1540.12,7.39008217011964
-76.46,3.97,64.31914093,553.73405293,376.168544975386,1585.92,6.09278813611691
-76.46,4.02,64.41328732,643.420951320003,433.350135235481,1876.24000000001,17.7486698695711
-76.46,4.07,64.42308825,840.31755225,558.81388074084,2514.24,26.018773141859
-76.46,4.12,64.59802893,842.36878093,560.184369983564,2520.32,31.9459871630041
-76.46,4.17,64.75979305,864.70036905,574.472484226282,2592.16,23.0921182559142
-76.46,4.22,64.86800965,954.166801649997,631.518701126031,2881.71999999999,28.9161539887309
-76.46,4.27,65.21492788,763.527351879995,510.171360392395,2262.83999999998,28.228085431479
-76.46,4.32,65.66111273,462.37258473,318.440979235514,1285.52,28.8817831199585
-76.46,4.37,65.90183783,404.49775783,281.651160695339,1097.2,21.8098443147359
-76.46,4.42,66.19837129,283.65027529,204.756157348907,704.64,13.9661863977878
-76.46,4.47,66.25118834,440.62002034,304.794588407809,1213.12,17.8598042589504
-76.46,4.52,66.43388035,446.740176349999,308.760562382745,1232.36,20.9510154921506
-76.46,4.57,66.67980829,378.68675229,265.486949549362,1011.04,7.56720284543679
-76.46,4.62,66.91806677,316.05701877,225.666465727023,807.32,9.34220315072313
-76.46,4.67,67.18483848,217.68288648,163.080417932213,487.68,8.85204830324751
-76.46,4.72,67.24329585,342.82309585,242.839491000153,893,19.2833799471106
-76.46,4.77,67.25298915,512.53810115,350.98340561815,1442.92,14.3343192989438
-76.46,4.82,67.59703632,308.453164320004,221.067717608682,780.480000000012,13.4094674386091
-76.46,4.87,67.77053697,281.35876897,203.866436843823,692.120000000002,4.47701180133341
-76.46,4.92,67.83789338,357.41578938,252.353510044163,938.36,16.7172820034534
-76.46,4.97,68.09726741,216.53386741,162.67931653343,481,10.6489083889723
-76.46,5.02,68.25057662,176.49511262,137.222717057702,350.76,4.06463985840653
-76.46,5.07,68.36516153,163.48802553,128.976327479701,308.240000000001,2.8888764678941
-76.46,5.12,68.4281339,189.3499579,145.478092587162,391.839999999998,1.37570434003022
-76.46,5.17,68.5290077,159.3808477,126.418727579289,294.4,4.14247587756128
-76.46,5.22,68.6018505,141.4067625,114.992280914137,235.92,10.8803120022097
-76.46,5.27,68.66940465,110.71306865,95.4591309963122,136.24,2.59184814811714
-76.46,5.32,68.68603118,113.12443118,97.001655034,144,0.660040627709184
-76.46,5.37,68.6801034,118.2042314,100.236293095069,160.48,1.05342897443193
-76.46,5.42,68.66826632,107.89749832,93.6646698222255,127.12,0.871495260047891
-76.46,5.47,68.62270791,109.59244391,94.7281400131739,132.76,0.589153483551276
-76.46,5.52,68.5674458,97.7980378,87.1928339350756,94.72,2.12065442162873
-76.46,5.57,68.474759,99.742111,88.3979465617172,101.32,2.99200124740048
-76.46,5.62,68.35045877,108.55486677,93.9682329067993,130.279999999999,2.00581041872381
-76.46,5.67,68.19649895,121.36210695,102.072996710883,172.28,1.44633476621162
-76.46,5.72,68.04550458,104.11467258,91.0283526081633,116.88,6.77550007542222
-76.46,5.77,67.83638865,118.13818865,99.8881017625139,163,10.2034844516785
-76.46,5.82,67.61388439,117.11332439,99.1543431829278,160.4,13.8071634442257
-76.46,5.87,67.35374599,125.04960199,104.116864293777,186.96,12.1494834459386
-76.46,5.92,66.99650296,202.70643896,153.469272029688,439.76,4.17341308528944
-76.46,5.97,66.69913007,187.76908207,143.843474170009,392.32,5.88382632199257
-76.46,6.02,66.36085457,183.28322257,140.862407110302,378.88,2.40318850459454
-76.46,6.07,66.00277418,166.71747018,130.176989464663,326.360000000001,13.0329145888351
-76.46,6.12,65.55280586,213.545021859999,159.85169874489,479.559999999997,11.5254723725152
-76.46,6.17,64.97533096,363.24340296,255.028225177834,966.52,10.198770978933
-76.46,6.22,64.70069728,153.91078528,121.544312166905,289.08,12.7665229706834
-76.46,6.27,64.20310147,147.67322947,117.389281609097,270.48,11.6379439106257
-76.46,6.32,63.63520807,182.273392069999,139.230058309109,384.439999999998,19.1436843626926
-76.46,6.37,63.04817313,202.04161313,151.613152184455,450.399999999999,12.1764541463119
-76.46,6.42,62.47490885,169.09003685,130.408809746388,345.48,15.1312579698915
-76.46,6.47,61.82525747,184.52461747,140.007841111322,397.6,10.5597455236361
-76.46,6.52,61.1407132,202.2326332,151.04281893645,457.2,5.10060852978917
-76.41,2.72,63.14411426,814.04197826,541.607368332965,2433.24,10.8499892316178
-76.41,2.77,63.18612138,812.19535338,540.44596143917,2427.12,16.3159639126739
-76.41,2.82,63.3026796199999,724.03996762,484.316679073627,2141.08,17.8262018406792
-76.41,2.87,63.39185763,671.64245763,450.961959131625,1971,11.6026055018102
-76.41,2.92,63.3933726999999,727.772140699986,486.727680219432,2152.87999999996,9.18595506128895
-76.41,2.97,63.59137258,554.05552458,376.109339966384,1589.32,21.6184502692323
-76.41,3.02,63.75770813,423.523588130014,292.99627958135,1165.80000000005,12.8086705767706
-76.41,3.07,63.8520112599999,384.623195259999,268.243622779456,1039.44,3.47769760634318
-76.41,3.12,63.93006673,371.45613873,259.88204925075,996.52,1.22892272308153
-76.41,3.17,64.0074868199999,365.91703882,256.380689103647,978.319999999999,0.659659985379265
-76.41,3.22,64.08846069,363.41811669,254.817783699902,969.96,0.591172984825786
-76.41,3.27,64.1747282599998,362.220608259999,254.086044358563,965.799999999999,0.68133218554949
-76.41,3.32,64.2672306199999,361.47371862,253.643696045766,963.08,0.688204736742923
-76.41,3.37,64.36624517,361.05428517,253.412361650803,961.4,0.659869288272155
-76.41,3.42,64.4726299899999,360.08674199,252.834452227664,957.92,0.62526339801851
-76.41,3.47,64.58646572,358.55882572,251.90218296528,952.6,0.572814363906366
-76.41,3.52,64.7058306400001,358.764598640001,252.076606042775,952.880000000002,0.631888906330147
-76.41,3.57,64.83155383,359.66799383,252.697852650219,955.4,0.73269125299191
-76.41,3.62,64.96463674,359.97389274,252.941051875207,955.96,0.750286229729662
-76.41,3.67,65.10594441,358.498136410004,252.051985454967,950.720000000014,1.81707038353772
-76.41,3.72,65.24515675,367.09298875,257.579031778295,978.12,9.26658679623215
-76.41,3.77,65.3859603700001,381.059072370013,266.529140597325,1022.92000000004,10.7710464102818
-76.41,3.82,65.4913308700001,442.995538869996,306.032555509727,1223.27999999999,10.483001611857
-76.41,3.87,65.65683647,441.28475647,305.002512547005,1217.2,11.1084164286533
-76.41,3.92,65.7972419699999,474.457705970006,326.190865111816,1324.24000000002,10.9506593235014
-76.41,3.97,65.89387271,563.01144071,382.651318223413,1610.88,7.28576919923198
-76.41,4.02,66.0522465,584.907598499996,396.660751348659,1681.31999999999,12.5183985057203
-76.41,4.07,66.18793185,636.51776385,429.595367662878,1848.12,21.409380842334
-76.41,4.12,66.43537322,564.41702122,383.743400308352,1613.68,20.9244507602952
-76.41,4.17,66.52694097,671.25950097,451.855388916516,1959.6,22.250343994669
