lon,lat,estacion_gnss_retenida,tipo_relacion_gravedad_gnss,dist_gnss_km,clase_distancia,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,gradiente_mgal_km,usar_grilla_regional,usar_resumen_contextual_100km,usar_contexto_regional_150km
-74.56,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,16.8143,local_0_50km,64.09795617,230.29757217,169.99838938396,7.82375951996915,1,1,1
-74.51,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,11.4248,local_0_50km,63.62373527,151.82161527,119.822383169119,7.28213354846747,1,1,1
-74.46,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,6.274,local_0_50km,63.08277361,104.62033361,89.5500164624194,3.35342560036258,1,1,1
-74.41,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,3.0375,local_0_50km,62.47055854,94.68839854,82.99938583415,0.545213537050491,1,1,1
-74.36,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,6.3339,local_0_50km,61.81242199,97.36314199,84.4649210732,0.238098354228822,1,1,1
-74.31,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,11.4908,local_0_50km,61.12348779,97.57531979,84.3501648013506,0.787722697374952,1,1,1
-74.26,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,16.8815,local_0_50km,60.40557967,93.75906767,81.6580284626411,0.45803184028447,1,1,1
-74.21,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,22.3374,local_0_50km,59.65245736,93.16641736,81.0071570165583,0.537029825418481,1,1,1
-74.16,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,27.8202,local_0_50km,58.86610423,94.39213623,81.5028724110589,0.80933194955526,1,1,1
-74.11,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,33.3165,local_0_50km,58.05324276,90.54265076,78.7551099777022,0.644921379667504,1,1,1
-74.06,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,38.8207,local_0_50km,57.20556431,91.80579631,79.2524236607672,0.733475596085435,1,1,1
-74.01,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,44.3299,local_0_50km,56.32567278,96.24616878,81.7625415421766,0.443380104715249,1,1,1
-73.96,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,49.8422,local_0_50km,55.41757146,100.09050746,83.8826388843405,0.676159762801029,1,1,1
-73.91,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,55.3569,contextual_50_100km,54.48489202,99.70096402,83.296039291445,0.990874243014799,1,1,1
-73.86,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,60.8733,contextual_50_100km,53.51215235,115.88638435,93.2562766095172,0.562882752294988,1,1,1
-73.81,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,66.3909,contextual_50_100km,52.52980339,110.55894739,89.5052888726816,3.02755678339018,1,1,1
-73.76,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,71.9095,contextual_50_100km,51.50713637,125.28722437,98.5189374187105,6.26681165427006,1,1,1
-73.71,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,77.4289,contextual_50_100km,50.43981479,169.57175879,126.349283071932,6.64200396880841,1,1,1
-73.66,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,82.9489,contextual_50_100km,49.34025477,229.71078277,164.270225812958,8.0041139160606,1,1,1
-73.61,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,88.4693,contextual_50_100km,48.26698185,219.34247785,157.274268236829,13.9792045656376,1,1,1
-73.56,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,93.9902,contextual_50_100km,47.00676979,472.33163379,318.018751877062,26.922323676001,1,1,1
-73.51,6.52,BER1,contextual_por_proximidad_no_asociacion_directa,99.5114,contextual_50_100km,45.86952754,507.65856754,340.116052089483,21.4401355104394,1,1,1
-76.46,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,101.9165,regional_100_150km,61.82525747,184.52461747,140.007841111322,10.5597455236361,1,0,1
-76.41,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,96.6508,contextual_50_100km,62.3229012,274.4298532,197.474946945356,6.23242176580806,1,1,1
-76.36,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,91.4158,contextual_50_100km,62.88308981,275.43442581,198.318291793896,7.19556347914478,1,1,1
-76.31,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,86.2171,contextual_50_100km,63.33428556,378.09394156,263.895422408096,16.9777749650734,1,1,1
